1;2;3;4;6;7;8;9;10;11;12;13;14
SEN;2000;29/11/2000;07:00;29/11/2000;20:00;61º, -27º;1;1;(+BA +BT);4.630;8.468;92.74º
NOT;2001;24/01/2001;09:00;26/01/2001;07:00;NOT;0;0;NOT;;;
ESW;2001;04/03/2001;16:00;05/03/2001;01:00;NOT;0;0;NOT;1.565;3.227;94.81º
WSE;2001;19/03/2001;20:00;20/03/2001;23:00;215º, -51º;0;1;(+BA +BT);26.231;17.966;156.65º
SEN;2001;20/03/2001;23:00;22/03/2001;11:00;39º, -26º;2;1;(+BA -BT);3.088;7.991;148.90º
SEN;2001;27/03/2001;22:00;28/03/2001;05:00;177º, 13º;1;1;(+BA +BT);2.312;5.266;92.80º
NOT;2001;31/03/2001;05:00;31/03/2001;22:00;NOT;0;0;NOT;;;
SEN;2001;01/04/2001;06:00;01/04/2001;12:00;110º, 14º;2;1;(+BA +BT);6.576;12.232;144.59º
NOT;2001;04/04/2001;18:00;05/04/2001;12:00;NOT;0;0;NOT;;;
WNE;2001;12/04/2001;07:00;13/04/2001;16:00;313º, 65º;2;2;(+BA +BT);2.958;7.277;97.86º
WSE;2001;22/04/2001;00:00;23/04/2001;00:00;96º, -59º;0;1;(+BA +BT);8.669;12.673;167.38º
SEN;2001;29/04/2001;01:00;29/04/2001;13:00;122º, 10º;2;1;(+BA +BT);7.804;12.559;126.78º
NOT;2001;07/05/2001;19:00;08/05/2001;07:00;NOT;0;0;NOT;*;*;*
SWN;2001;09/05/2001;12:00;10/05/2001;22:00;194º, -26º;1;1;(+BA +BT);3.367;8.310;109.82º
SEN;2001;28/05/2001;11:00;29/05/2001;06:00;52º, -38º;1;2;(-BA -BT);4.629;10.491;113.77º
NOT;2001;07/06/2001;18:00;08/06/2001;07:00;NOT;0;0;NOT;*;*;*
NOT;2001;27/06/2001;03:00;28/06/2001;17:00;NOT;0;0;NOT;*;*;*
SWN;2001;10/07/2001;17:00;11/07/2001;23:00;252º, -6º;2;2;(+BA +BT);3.760;9.013;135.76º
WSE;2001;13/07/2001;18:00;14/07/2001;01:00;10º, -56º;1;1;(-BA +BT);2.623;6.679;115.91º
NOT;2001;30/08/2001;17:00;31/08/2001;10:00;NOT;0;0;NOT;*;*;*
NOT;2001;01/09/2001;13:00;02/09/2001;22:00;NOT;0;0;NOT;*;*;*
NOT;2001;13/09/2001;18:00;14/09/2001;22:00;NOT;0;0;NOT;*;*;*
NOT;2001;24/09/2001;00:00;24/09/2001;22:00;NOT;0;0;NOT;*;*;*
NOT;2001;29/09/2001;11:00;01/10/2001;00:00;NOT;0;0;NOT;*;*;*
SEN;2001;03/10/2001;09:00;03/10/2001;16:00;117º, -26º;2;2;(-BA -BT);13.014;15.134;128.68º
NOT;2001;12/10/2001;04:00;12/10/2001;09:00;NOT;0;0;NOT;*;*;*
SEN;2001;31/10/2001;20:00;02/11/2001;10:00;84º, -3º;2;2;(+BA -BT);4.914;10.765;119.00º
ESW;2001;06/11/2001;00:00;06/11/2001;06:00;27º, -78º;1;2;(-BA +BT);48.888;6.267;114.93º
SWN;2001;06/11/2001;12:00;07/11/2001;17:00;254º, -31º;2;2;(-BA -BT);6.283;9.756;119.93º
NOT;2001;19/11/2001;22:00;21/11/2001;13:00;NOT;0;0;NOT;*;*;*
